BEN_REG,sexe,age,CIP13,total_boites,1,3,4,7,9,14,15,35,42,90,99
5,1,20,3400938014624,38,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,20,3400938014792,226,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0
5,1,20,3400938014914,233,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,30.0
5,1,60,3400938014624,129,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
5,1,60,3400938014792,816,654.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,56.0
5,1,60,3400938014914,970,742.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,65.0
5,2,20,3400938014624,116,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
5,2,20,3400938014792,432,359.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,28.0
5,2,20,3400938014914,329,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,43.0
5,2,60,3400938014624,342,299.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0
5,2,60,3400938014792,2010,1675.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,153.0,20.0
5,2,60,3400938014914,2103,1775.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,168.0,37.0
11,1,20,3400938014624,532,321.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,26.0
11,1,20,3400938014792,1376,812.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.0,76.0
11,1,20,3400938014914,773,463.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,61.0
11,1,60,3400938014624,1571,976.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,277.0,74.0
11,1,60,3400938014792,4648,2886.0,598.0,0.0,0.0,29.0,0.0,0.0,0.0,80.0,894.0,161.0
11,1,60,3400938014914,2983,1850.0,339.0,0.0,0.0,0.0,0.0,0.0,32.0,61.0,636.0,65.0
11,2,20,3400938014624,949,579.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,48.0
11,2,20,3400938014792,1871,1190.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.0,97.0
11,2,20,3400938014914,835,470.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,65.0
11,2,60,3400938014624,4090,2778.0,604.0,0.0,0.0,33.0,0.0,0.0,0.0,42.0,543.0,90.0
11,2,60,3400938014792,10616,7394.0,1149.0,34.0,16.0,74.0,17.0,25.0,32.0,155.0,1565.0,155.0
11,2,60,3400938014914,5608,4028.0,483.0,0.0,0.0,0.0,0.0,27.0,0.0,52.0,914.0,104.0
24,1,20,3400938014624,64,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1,20,3400938014792,157,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
24,1,20,3400938014914,117,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
24,1,60,3400938014624,305,255.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0
24,1,60,3400938014792,876,709.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,27.0
24,1,60,3400938014914,820,686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,41.0
24,2,20,3400938014624,162,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
24,2,20,3400938014792,296,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0
24,2,20,3400938014914,63,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2,60,3400938014624,731,661.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0
24,2,60,3400938014792,2029,1763.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,31.0
24,2,60,3400938014914,1160,1059.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0
27,1,20,3400938014624,62,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1,20,3400938014792,185,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
27,1,20,3400938014914,88,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1,60,3400938014624,326,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0
27,1,60,3400938014792,723,592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,38.0
27,1,60,3400938014914,532,476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0
27,2,20,3400938014624,162,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
27,2,20,3400938014792,169,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2,20,3400938014914,105,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2,60,3400938014624,969,859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,44.0
27,2,60,3400938014792,1611,1399.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,0.0
27,2,60,3400938014914,1178,1080.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0
28,1,20,3400938014624,77,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1,20,3400938014792,192,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
28,1,20,3400938014914,126,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1,60,3400938014624,320,286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
28,1,60,3400938014792,852,753.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0
28,1,60,3400938014914,702,602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,35.0
28,2,20,3400938014624,123,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2,20,3400938014792,207,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2,20,3400938014914,80,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2,60,3400938014624,734,714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
28,2,60,3400938014792,1935,1758.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,41.0
28,2,60,3400938014914,1464,1371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0
32,1,20,3400938014624,141,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0
32,1,20,3400938014792,319,281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0
32,1,20,3400938014914,237,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
32,1,60,3400938014624,613,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,33.0
32,1,60,3400938014792,1205,1077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,63.0
32,1,60,3400938014914,1229,1082.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,25.0
32,2,20,3400938014624,319,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,18.0
32,2,20,3400938014792,454,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,17.0
32,2,20,3400938014914,340,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0
32,2,60,3400938014624,1373,1266.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0
32,2,60,3400938014792,3198,2827.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,29.0
32,2,60,3400938014914,2558,2269.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,43.0
44,1,20,3400938014624,184,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0
44,1,20,3400938014792,267,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0
44,1,20,3400938014914,182,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
44,1,60,3400938014624,624,551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,25.0
44,1,60,3400938014792,1186,1006.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,0.0
44,1,60,3400938014914,995,880.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0
44,2,20,3400938014624,305,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
44,2,20,3400938014792,402,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,20.0
44,2,20,3400938014914,159,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2,60,3400938014624,1542,1421.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,21.0
44,2,60,3400938014792,2870,2597.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,21.0
44,2,60,3400938014914,2127,1916.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,35.0
52,1,20,3400938014624,65,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
