enrollment_id,associate_id,organization_name,associate_id_owner,type_owner,role_code_owner,role_text_owner,association_date_owner,first_name_owner,middle_name_owner,last_name_owner,title_owner,organization_name_owner,doing_business_as_name_owner,address_line_1_owner,address_line_2_owner,city_owner,state_owner,zip_code_owner,percentage_ownership,created_for_acquisition_owner,corporation_owner,llc_owner,medical_provider_supplier_owner,management_services_company_owner,medical_staffing_company_owner,holding_company_owner,investment_firm_owner,financial_institution_owner,consulting_firm_owner,for_profit_owner,non_profit_owner,private_equity_company_owner,reit_owner,chain_home_office_owner,other_type_owner,other_type_text_owner,owned_by_another_org_or_ind_owner,Year,Month,Day
O20090807000139,4789672692,NORTHWESTERN LAKE FOREST HOSPITAL,7113910860,I,41,CORPORATE DIRECTOR,10/01/2015,CHARLES,NULL,RUTH,BOARD MEMBER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025,6,1
O20090807000139,4789672692,NORTHWESTERN LAKE FOREST HOSPITAL,143669002,I,40,CORPORATE OFFICER,04/01/2024,SEAMUS,P,COLLINS,PRESIDENT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025,6,1
O20090807000139,4789672692,NORTHWESTERN LAKE FOREST HOSPITAL,143669002,I,41,CORPORATE DIRECTOR,04/01/2024,SEAMUS,P,COLLINS,BOARD MEMBER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025,6,1
O20090807000139,4789672692,NORTHWESTERN LAKE FOREST HOSPITAL,143669002,I,42,W-2 MANAGING EMPLOYEE,04/01/2024,SEAMUS,P,COLLINS,PRESIDENT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025,6,1
O20090807000139,4789672692,NORTHWESTERN LAKE FOREST HOSPITAL,446431167,I,41,CORPORATE DIRECTOR,09/01/2018,ANTHONY,K,KESMAN,BOARD MEMBER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025,6,1
O20090807000139,4789672692,NORTHWESTERN LAKE FOREST HOSPITAL,547505810,I,41,CORPORATE DIRECTOR,09/01/2022,JOSE CARLOS,NULL,GONZALEZ-MENDEZ,BOARD MEMBER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025,6,1
O20090807000139,4789672692,NORTHWESTERN LAKE FOREST HOSPITAL,1153347588,I,41,CORPORATE DIRECTOR,09/01/2023,SHARMI,NULL,JAYACHANDRAN,BOARD MEMBER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025,6,1
O20090807000139,4789672692,NORTHWESTERN LAKE FOREST HOSPITAL,2668710120,I,41,CORPORATE DIRECTOR,09/01/2018,JAMES,NULL,ZALLIE,BOARD MEMBER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025,6,1
O20090807000139,4789672692,NORTHWESTERN LAKE FOREST HOSPITAL,2769896554,I,41,CORPORATE DIRECTOR,09/01/2022,MICHAEL,J,LEONARD,BOARD MEMBER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025,6,1
O20090807000139,4789672692,NORTHWESTERN LAKE FOREST HOSPITAL,2961504501,I,41,CORPORATE DIRECTOR,09/01/2022,CAROL,L,BERNICK,BOARD MEMBER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025,6,1
O20090807000139,4789672692,NORTHWESTERN LAKE FOREST HOSPITAL,3678880523,I,41,CORPORATE DIRECTOR,09/01/2021,MICHAEL,J,MULLEN,DIRECTOR REV CYCLE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025,6,1
O20090807000139,4789672692,NORTHWESTERN LAKE FOREST HOSPITAL,4385603877,I,41,CORPORATE DIRECTOR,09/01/2024,AARON,S,EPSTEIN,BOARD MEMBER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025,6,1
O20090807000139,4789672692,NORTHWESTERN LAKE FOREST HOSPITAL,4385609759,I,41,CORPORATE DIRECTOR,01/01/2024,JOHN,J,GUIDO,BOARD MEMBER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025,6,1
O20090807000139,4789672692,NORTHWESTERN LAKE FOREST HOSPITAL,4385631217,I,41,CORPORATE DIRECTOR,02/01/2010,DEAN,M,HARRISON,BOARD MEMBER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025,6,1
O20090807000139,4789672692,NORTHWESTERN LAKE FOREST HOSPITAL,4385731967,I,41,CORPORATE DIRECTOR,09/01/2018,KERMIT,R,CRAWFORD,BOARD MEMBER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025,6,1
